book_id,category,category_id
5835,Fiction,5
5836,Performing Arts,139
5837,Design,78
5838,Photography,117
5839,Philosophy,67
5840,Religion,25
5841,"Airplanes, Military",374
5842,Nature,66
5843,Business & Economics,21
5844,Fiction,5
5845,Education,43
5846,Technology & Engineering,109
5847,Psychology,26
5848,Christianity,375
5849,Computers,35
5850,Health & Fitness,75
5851,Music,57
5852,Fiction,5
5853,Family & Relationships,65
5854,Health & Fitness,75
5855,Science fiction,334
5856,Reference,56
5857,Literary Collections,32
5858,Fiction,5
5859,True Crime,134
5860,Technology & Engineering,109
5861,Crafts & Hobbies,82
5862,Fiction,5
5863,"Body, Mind & Spirit",24
5864,Philosophy,67
5865,House & Home,110
5866,Bands (Music),68
5867,Fiction,5
5868,Poetry,18
5869,Popular culture,376
5870,Art,53
5871,Self-Help,107
5872,Religion,25
5873,History,1
5874,Fiction,5
5875,Juvenile Nonfiction,16
5876,Fiction,5
5877,Fiction,5
5878,Fiction,5
5879,Best friends,377
5880,True Crime,134
5881,Children's stories,37
5882,Children and war,378
5883,Americans,54
5884,Americans,54
5885,Fiction,5
5886,Fiction,5
5887,Nature,66
5888,Fiction,5
5889,Fiction,5
5890,Fiction,5
5891,Fiction,5
5892,Fiction,5
5893,Fiction,5
5894,Business & Economics,21
5895,Biographical fiction,379
5896,Computers,35
5897,Family & Relationships,65
5898,Fiction,5
5899,Medical,81
5900,Medical,81
5901,"Body, Mind & Spirit",24
5902,Juvenile Fiction,9
5903,Fiction,5
5904,Juvenile Nonfiction,16
5905,Juvenile Nonfiction,16
5906,Drama,129
5907,Juvenile Nonfiction,16
5908,Adultery,296
5909,Fiction,5
5910,Fiction,5
5911,Juvenile Nonfiction,16
5912,Juvenile Fiction,9
5913,Religion,25
5914,Juvenile Fiction,9
5915,Fiction,5
5916,Fiction,5
5917,Fiction,5
5918,Juvenile Fiction,9
5919,Juvenile Fiction,9
5920,Foreign Language Study,102
5921,Religion,25
5922,Biography & Autobiography,2
5923,Juvenile Fiction,9
5924,Fiction,5
5925,Fiction,5
5926,Biography & Autobiography,2
5927,Biography & Autobiography,2
5928,Fiction,5
5929,"Body, Mind & Spirit",24
5930,Cooking,44
5931,Fiction,5
5932,Fiction,5
5933,"Body, Mind & Spirit",24
5934,Computers,35
5935,Computers,35
5936,Fantasy fiction,177
5937,Nature,66
5938,True Crime,134
5939,Nature,66
5940,Fiction,5
5941,Juvenile Fiction,9
5942,Scotland,380
5943,Computers,35
5944,History,1
5945,Fiction,5
5946,Fiction,5
5947,Biography & Autobiography,2
5948,Fiction,5
5949,Fiction,5
5950,Families,127
5951,Africa,355
5952,Fiction,5
5953,Juvenile Fiction,9
5954,Fiction,5
5955,Computers,35
5956,Computers,35
5957,Fiction,5
5958,Fiction,5
5959,Fiction,5
5960,Fiction,5
5961,Fiction,5
5962,"Body, Mind & Spirit",24
5963,Fiction,5
5964,Fiction,5
5965,Nature,66
5966,Computers,35
5967,Self-Help,107
5968,Family & Relationships,65
5969,Drugs,381
5970,Fiction,5
5971,Juvenile Fiction,9
5972,Juvenile Fiction,9
5973,Fiction,5
5974,Fiction,5
5975,Comics & Graphic Novels,12
5976,Fiction,5
5977,Fiction,5
5978,Computers,35
5979,Juvenile Fiction,9
5980,Photography,117
5981,Fiction,5
5982,Drugs,381
5983,Juvenile Fiction,9
5984,Juvenile Fiction,9
5985,Biography & Autobiography,2
5986,Juvenile Fiction,9
5987,Collective behavior,382
5988,Fiction,5
5989,Juvenile Fiction,9
5990,Computers,35
5991,"Artists, Dutch",383
5992,Juvenile Fiction,9
5993,"Artists, Dutch",383
5994,Business,178
5995,Detective and mystery stories,38
5996,Religion,25
5997,Fiction,5
5998,Fiction,5
5999,"Body, Mind & Spirit",24
6000,History,1
6001,Computers,35
6002,Fiction,5
6003,Crafts & Hobbies,82
6004,Literary Criticism,115
6005,Mathematics,91
6006,Juvenile Fiction,9
6007,Balkan Peninsula,384
6008,Crafts & Hobbies,82
6009,Foreign Language Study,102
6010,Fiction,5
6011,History,1
6012,Reference,56
6013,History,1
6014,Juvenile Fiction,9
6015,Fiction,5
